id,deskripsimasalah,kelas
1,"aku memiliki teman yang pernah mengalami gangguan makan. dia bilang bahwa hal ini  terjadi dimulai ketika ia mengikuti camping dari sekolahnya, ia mual, muntah, dan tidak nafsu dengan makanan berkuah. Aku menyarankan untuk mulai makan buah-buahan terlebih dahulu sebelum makan makanan berat.Cara ini cukup berhasil untuk membantu temanku","Gangguan makan"
2,"salah satu saudara ku mengalami permasalahan gangguan pascatrauma. Hal ini terjadi setelah ia mengalami inside lalu lintas atau kecelakaan, aku menyarankan untuk melupakan hal tersebut dan mencari hobi untuk mengisi waktu luangnya. Kondisi dia sudah lebih baik saat ini","Gangguan pascatrauma"
3,"Dia kawanku yang sangat aktif dan sulit fokus. dia cukup bingung dengan hal itu. oleh karena itu aku menyarankan nya untuk menghela nafas terlebih dahulu sebelum melakukan sesuatu dan jika masalah tersebut semakin berat maka ku saranakan dia untuk ke dokter, saat ini sudah lebih baik kondisinya","ADHD"
4,"seseorang pernah curhat kepada ku tentang rumah tangga nya, dia merasa depresi akan hal itu. Sakit sekali rasanya ketika Anda sudah melakukan yang terbaik, tapi ternyata masih tidak cukup. itu adalah kata yang dia ucapkan ketika curhat kepadaku, aku menyarankannya untuk pergi ke psikater untuk diberi obat.Alhamdullilah dia sudah sehat dan bahagia sekarang","Depresi"
5,"Penyebab pasti skizofrenia tidak diketahui, namun kombinasi genetika, lingkungan, serta struktur dan senyawa kimia pada otak yang berubah mungkin berperan atas terjadinya gangguan. Sayangnya salah satu teman kantorku didiagnosis mengidap penyakit itu , aku sedih , aku berusaha untuk selalu menghiburnya. Semakin hari dia semakin semangat dan senang meskipun penyakit itu cukup mengganggu dirinya dan aku selalu menyarankan dia untuk konsultasi secara rutin dengan psikiater","Skizofrenia"
6,"sahabatku memiliki rekan kerja yang pernah mengalami gangguan makan. dia(perempuan) bilang bahwa hal ini  terjadi dimulai ketika ia mengikuti bootcamp dari kantornya, ia puisng, muntah, dan tidak nafsu dengan makanan yang terlalu banyak santan. temanku menyarankan untuk mulai makan ringan terlebih dahulu sebelum makan makanan berat.Cara ini cukup berhasil untuk membantu temannya","Gangguan makan"
7,"salah satu teman kakakku mengalami permasalahan gangguan pascatrauma. Hal ini terjadi setelah ia mengalami insiden kecelakaan yang dia alami, aku menyarankan untuk berkonsultasi ke dokter dan mencari hobi untuk mengisi waktu luangnya. Kondisi dia sudah lebih baik saat ini","Gangguan pascatrauma"
8,"Dia(laki-laki) kawanku yang sangat aktif dan sulit fokus atau mengidap ADHD. dia cukup gelisah dengan hal itu. oleh karena itu aku menyarankannya untuk selalu tenang sebelum melakukan sesuatu, saat ini sudah lebih baik kondisinya","ADHD"
9,"seorang kawan pernah curhat kepadaku tentang keluarganya, dia merasa depresi akan hal itu. Sakit sekali rasanya ketika Anda sudah melakukan yang terbaik, tapi ternyata masih tidak cukup. itu adalah kata yang dia ucapkan ketika curhat kepadaku, aku menyarankannya untuk pergi ke psikater untuk diberi obat.Sykurnya dia sudah sehat dan bahagia sekarang","Depresi"
10,"skizofrenia penyakit yang unik, namun kombinasi genetika, lingkungan, serta struktur dan senyawa kimia pada otak yang berubah mungkin berperan atas terjadinya gangguan. Sayangnya salah satu atasanku di kantorku didiagnosis mengidap penyakit itu, aku terkadang kasihan padanya.penyakit itu cukup mengganggu dirinya dan aku pernah menyarankan beliau untuk konsultasi secara rutin dengan psikiater","Skizofrenia"
